Outlet,JC,Month of Enrolment,JC1 Promo (out of 100),JC2 Prelims (out of 100),,
West,D,6,29,64,,16.25
East,K,5,70,72,,46.25
South,L,5,54,60,,30
North,K,7,78,67,,13.76010595
West,K,7,49,44,,50.09259259
East,C,6,21,38,,
North,J,7,32,66,,
West,E,1,50,49,,
East,I,6,38,43,,
North,B,6,47,61,,
West,H,7,28,40,,
West,C,7,31,41,,
South,H,5,8,39,,
South,F,4,51,62,,
East,K,4,28,38,,
North,M,7,43,71,,
North,M,8,55,50,,
East,D,1,28,47,,
West,L,5,32,49,,
West,F,7,42,46,,
West,F,1,31,56,,
West,A,6,66,71,,
West,M,5,19,56,,
North,B,7,33,45,,
North,G,4,32,45,,
West,A,6,30,61,,
South,F,4,68,69,,
South,I,3,44,51,,
West,C,3,30,55,,
West,A,4,27,38,,
North,C,4,59,46,,
West,A,1,28,51,,
South,I,8,46,45,,
East,D,4,55,52,,
West,A,8,11,36,,
West,K,5,25,49,,
West,C,3,31,58,,
South,J,2,40,46,,
South,L,8,44,59,,
North,M,3,43,56,,
West,E,7,37,61,,
South,F,4,33,44,,
East,C,1,41,46,,
West,G,1,42,44,,
East,K,5,34,46,,
West,D,4,56,61,,
East,C,8,19,38,,
North,G,8,31,39,,
North,J,2,8,48,,
West,C,7,50,43,,
West,C,7,11,48,,
East,B,5,31,45,,
South,B,7,54,61,,
South,J,5,30,45,,
North,I,7,24,51,,
West,B,2,16,45,,
South,B,5,61,63,,
North,I,3,61,55,,
North,K,8,62,48,,
South,F,1,38,51,,
South,B,4,41,51,,
West,E,8,30,45,,
North,A,5,39,41,,
East,F,5,41,44,,
West,F,8,34,51,,
East,E,4,26,41,,
East,J,7,36,51,,
East,A,3,38,51,,
West,C,8,56,59,,
East,K,5,32,51,,
South,G,3,60,55,,
South,F,3,51,53,,
East,E,7,51,52,,
North,D,8,46,51,,
North,M,6,48,51,,
West,K,3,53,52,,
East,E,1,34,33,,
East,E,4,45,53,,
West,L,7,31,42,,
East,K,4,43,56,,
West,C,3,44,47,,
East,B,4,16,39,,
West,G,7,36,51,,
South,A,3,67,61,,
North,A,6,31,38,,
North,M,8,45,51,,
South,K,2,45,48,,
North,D,4,52,48,,
North,M,4,45,39,,
South,F,7,23,51,,
West,E,6,32,64,,
North,E,1,26,43,,
North,A,7,49,49,,
East,G,6,18,43,,
North,F,7,39,51,,
East,L,3,40,36,,
North,C,2,28,51,,
West,A,4,22,51,,
East,C,4,34,43,,
East,D,3,31,60,,
South,H,8,35,40,,
East,I,8,33,43,,
South,D,4,39,50,,
North,C,7,27,48,,
North,M,6,39,63,,
East,L,8,45,49,,
West,C,5,39,48,,
South,C,1,41,48,,
