Group,NEWID,AGE_REF,EDUC_REF,SEX_REF,RACE_REF,OCCU_REF,MARITAL,FAM_Size,FAM_Income,REASON_NOT_WORKING,URBAN/RURAL AREA,US DIVISION/STATE,BUILDING TYPE,NO. OF VEH OWNED,TOTAL_TIME,VISITWKDAY,ENTERTAINMENT_EXP,ELCTRC_EXP,FOOD_EXP,WATER_EXP,NAT_GAS_EXP,TRANS_EXP,HEALTH_EXP,TELEPH_EXP,EHOUS_EXP
2,4214944,49,12,1,4,10,5,1,17000,0,1,3,8,1,2064,3,0,90,325,0,180,453,0,150,1701
4,4215034,30,14,2,1,6,1,3,6000,0,2,,9,2,2093,4,60,280,1690,210,230,1872,0,270,2211
1,4215054,65,12,2,1,10,2,1,46291,0,1,5,9,1,4473,5,447,414,1105,133,0,417,1608,252,2406.5
6,4215194,45,12,2,1,0,1,3,3249,4,1,9,1,0,5164,5,410,206,1560,0,83,400,0,567,5232
2,4216254,87,12,1,1,0,2,1,1735,1,1,5,1,1,1031,6,45,435,968,0,0,90,570,63,498
3,4216274,42,14,2,2,10,1,4,564,0,1,7,1,2,2979,1,750,600,2210,225,0,1641,324,618,3787
6,4216384,57,12,1,1,10,5,1,15500,0,1,5,8,0,5143,5,240,0,1430,0,0,1182,0,180,2460
6,4216544,68,11,1,1,0,1,2,21871,1,2,6,1,5,5833,4,0,435,1508,228,555,990,1837,624,3214.5
4,4216764,47,16,1,1,1,1,4,443850,0,1,4,1,2,6258,2,1174,703,5196,322,658,1620,2541,0,13955
1,4216834,41,14,1,1,10,1,2,0,0,1,3,8,0,1537,4,0,0,910,0,0,90,0,0,0
5,4216864,55,13,1,6,11,1,4,130000,0,1,9,1,8,5599,5,1511,510,2275,643,330,1322,306,744,8757
6,4216954,55,13,1,1,3,5,1,35000,0,1,3,8,2,6135,5,3435,300,1516,0,0,375,0,240,2505
6,4217194,40,16,1,1,1,1,6,0,0,1,7,1,3,2283,2,770,525,3575,195,120,32853,983,660,8370
1,4217354,41,15,2,1,4,3,4,158000,0,1,3,1,3,2906,4,39,320,3702,400,235,1932,1068,540,4200
3,4217514,74,14,2,1,0,2,2,17335,1,1,8,1,2,2260,5,350,312,1300,0,274,137,1998,277,1969
2,4217694,67,15,1,1,1,3,2,119135,0,1,2,11,1,4390,5,291,360,1885,0,0,781,744,0,3920
2,4217804,62,16,1,1,0,3,4,27000,1,1,5,8,2,3004,4,54,510,1560,0,0,1680,2435,339,5277
2,4217864,68,16,2,1,0,1,2,28183,1,1,5,1,1,1488,7,254,535,845,240,0,360,951,180,2256
3,4218014,62,12,1,1,0,1,2,40800,1,1,5,1,4,4124,2,869,328,1800,300,0,1983,1808,390,2890
5,4218044,69,16,2,1,4,3,1,71035,0,1,9,1,1,3085,5,0,1088,1455,233,197,1427,1915,120,3838
2,4218054,56,11,2,4,10,5,4,81032,0,1,9,1,0,7929,7,357,373,1950,398,295,2211,504,33,5833
3,4220164,53,13,2,1,0,3,2,8439,4,1,9,8,0,5311,5,40,285,975,0,55,17,0,0,547
4,4220184,22,15,2,1,1,5,1,57000,0,1,8,8,1,2317,4,164,152,699,0,0,795,367,0,2939
5,4220514,64,14,2,1,0,1,2,60447,1,1,2,3,0,2830,6,423,585,2850,0,258,5155,615,715,19026
1,4220584,50,16,2,1,3,1,3,260000,0,1,2,1,2,3854,3,445,300,1968,0,0,1804,5085,428,3349
2,4220664,44,15,2,1,3,3,4,90000,0,1,4,1,1,4441,4,1422,360,3020,161,204,681,3096,825,7188
6,4220754,36,16,2,1,10,3,1,55000,0,1,3,4,1,3787,4,483,108,1375,195,195,800,0,320,4041
5,4220764,34,15,1,1,6,1,4,607401,0,1,9,1,1,6044,5,2068,366,3235,414,0,3764,1027,615,17119
5,4221034,59,16,1,4,10,1,3,220000,0,1,3,1,1,2688,4,693,384,2830,160,990,4951,1050,1159,12900
4,4221114,46,12,1,1,12,1,4,38000,0,1,9,9,2,4883,4,705,600,2425,210,0,3129,0,600,4327
6,4221174,47,11,2,1,10,1,4,67815,0,1,1,8,2,2285,3,272,338,1690,0,312,786,180,382,3483
2,4221184,65,16,1,1,1,1,3,156000,0,1,2,1,0,3337,5,706,699,1755,225,438,2459,-50,703,11286
3,4221194,20,12,1,1,5,5,2,37094,0,2,,1,4,4031,5,61,136,455,0,0,1305,1010,240,2775
1,4221204,78,16,1,1,0,1,2,51070,1,1,3,8,0,2969,5,305,274,1690,0,266,2221,3810,360,2961
3,4221344,56,12,1,1,5,5,1,20154,0,1,5,1,0,2714,5,556,137,910,201,0,410,1233,135,748
4,4221384,63,16,2,1,2,3,1,62400,0,1,4,1,2,7557,5,68,147,1075,238,0,1951,321,460,2395.5
3,4221434,62,12,2,1,0,1,2,1666,1,1,2,1,2,4648,3,211,318,845,352,651,1800,2280,282,3137
1,4221464,28,14,1,4,10,1,4,140000,0,1,9,2,4,2356,4,102,240,3640,120,90,2417,390,420,7553
2,4221574,68,12,1,1,7,1,2,0,0,1,5,1,2,2369,5,432,402,2015,225,0,1512,1542,240,2451
2,4221844,57,16,1,1,1,1,3,211844,0,1,6,1,5,8168,5,2396,379,4865,310,0,3198,1483,986,4783.5
2,4222084,30,14,1,1,15,1,4,49400,0,1,9,1,3,1847,2,230,360,2978,40,330,722,108,180,5868
1,4222144,41,12,2,4,9,1,6,98000,0,1,9,4,2,6884,4,1740,1697,8125,881,0,996,0,624,9666
3,4222154,57,12,1,1,7,1,2,0,0,1,8,1,1,1962,2,695,294,3770,238,239,420,860,0,4513
4,4222304,30,15,2,4,7,1,5,0,0,1,2,1,2,3578,7,300,321,2861,280,355,1656,1038,301,8901
4,4222344,58,12,2,1,3,1,3,183183,0,1,5,1,5,6524,7,479,300,3185,106,0,1463,1545,1456,5227
5,4222464,63,12,2,1,0,1,2,19035,1,1,5,1,2,2532,2,437,450,845,333,0,1356,1020,405,1923
4,4222484,55,16,1,1,2,1,4,210260,0,1,3,1,6,2930,4,730,985,3250,330,0,2795,1014,1718,13264
3,4222694,68,15,2,1,9,1,2,142944,0,1,9,1,2,5592,4,634,238,5285,363,214,8055,2268,483,8405
6,4222764,53,14,2,2,0,2,2,24000,2,1,3,1,1,4005,4,300,513,650,195,645,1859,1315,300,2003
3,4222834,28,15,2,1,2,5,1,2280,0,1,7,8,1,2454,4,30,0,1365,0,0,662,452,189,454
4,4223204,52,13,2,1,10,1,4,0,0,1,3,1,3,3713,4,591,174,2296,165,126,25236,2450,300,3733
2,4223254,55,12,1,2,10,1,3,105000,0,1,3,1,2,4506,4,780,295,1235,200,435,4621,1356,498,4158
1,4223474,49,13,2,1,6,1,3,187500,0,1,6,1,4,9601,4,3164,749,4070,606,466,990,370,501,11382
